Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Scraped Time
BitcoinBTC,"$103,011.77",0.03%,1.99%,2.97%,"$2.04T$2,040,416,135,561","$43,893,483,197425,864 BTC","19,796,537 BTC",2024-12-15 19:16:39
EthereumETH,"$3,897.81",0.34%,1.22%,2.17%,"$470.5B$470,499,816,423","$24,323,819,1936,226,927 ETH","120,448,516 ETH",2024-12-15 19:16:39
TetherUSDT,$0.9996,0.02%,0.03%,0.10%,"$140.2B$140,196,853,143","$100,773,055,518100,813,897,344 USDT","140,253,672,849 USDT",2024-12-15 19:16:39
XRPXRP,$2.43,0.30%,1.61%,7.24%,"$138.79B$138,790,326,368","$5,228,721,7662,154,469,050 XRP","57,187,870,382 XRP",2024-12-15 19:16:39
SolanaSOL,$221.06,0.17%,1.05%,6.51%,"$105.92B$105,919,222,961","$2,857,831,02912,928,096 SOL","479,151,442 SOL",2024-12-15 19:16:39
BNBBNB,$717.39,0.20%,1.21%,2.96%,"$103.34B$103,342,821,457","$1,760,928,9262,453,856 BNB","144,008,313 BNB",2024-12-15 19:16:39
DogecoinDOGE,$0.4029,0.10%,2.58%,13.47%,"$59.31B$59,309,660,397","$2,675,998,4816,642,133,653 DOGE","147,213,346,384 DOGE",2024-12-15 19:16:39
USDCUSDC,$1.00,0.01%,0.01%,0.01%,"$42.03B$42,025,849,613","$6,260,316,4496,259,933,261 USDC","42,023,277,249 USDC",2024-12-15 19:16:39
CardanoADA,$1.09,0.03%,2.60%,8.86%,"$38.16B$38,164,101,631","$943,169,247867,759,085 ADA","35,112,728,715 ADA",2024-12-15 19:16:39
TRONTRX,$0.2842,0.22%,1.38%,10.31%,"$24.51B$24,509,604,035","$778,687,1752,739,979,108 TRX","86,242,338,609 TRX",2024-12-15 19:16:39
AvalancheAVAX,$50.03,2024-12-15 19:16:39,,,,,,
ChainlinkLINK,$29.11,2024-12-15 19:16:39,,,,,,
Shiba InuSHIB,$0.00,2024-12-15 19:16:39,,,,,,
ToncoinTON,$6.37,2024-12-15 19:16:39,,,,,,
PolkadotDOT,$8.94,2024-12-15 19:16:39,,,,,,
SuiSUI,$4.61,2024-12-15 19:16:39,,,,,,
StellarXLM,$0.43,2024-12-15 19:16:39,,,,,,
HederaHBAR,$0.29,2024-12-15 19:16:39,,,,,,
Bitcoin CashBCH,$537.98,2024-12-15 19:16:39,,,,,,
